Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
1,title,las materias o asignaturas,subjects,MC,0,null
1,las materias o asignaturas,la antropología,anthropology,Estudiar personas.,0,null
1,las materias o asignaturas,la arquitectura,architecture,Estudiar casas.,2516,null
1,las materias o asignaturas,las ciencias políticas,political science,Estudiar derechos.,284,null
1,las materias o asignaturas,la economía,economics,Estudiar el dinero.,1504,null
1,las materias o asignaturas,el español,Spanish,MC,285,null
1,las materias o asignaturas,la estadística,statistics,Estudiar matemáticas.,3339,null
1,las materias o asignaturas,la geografía,geography,Estudiar lugares.,2670,null
1,las materias o asignaturas,la historia,history,MC,192,null
1,las materias o asignaturas,la informática/la computación,computer science,Estudiar computadoras.,0,null
1,las materias o asignaturas,la literatura,literature,Estudiar libros.,1090,null
1,las materias o asignaturas,la psicología,psychology,MC,4437,null
1,las materias o asignaturas,la sociología,sociology,MC,0,null
1,title,los lugares,places,MC,0,null
1,los lugares,la biblioteca,library,Lugar para leer.,1825,null
1,los lugares,el café,café/ coffee shop,MC,1250,null
1,los lugares,la cafetería,cafeteria,Lugar para comer.,0,null
1,los lugares,la casa,house/ home,MC,116,null
1,los lugares,la discoteca,dance club,Lugar para bailar.,0,null
1,los lugares,el gimnasio,gymnasium,MC,0,null
1,los lugares,el laboratorio,laboratory,Lugar para las ciencias.,2264,null
1,los lugares,la librería,bookstore,Lugar para comprar libros.,4577,null
1,los lugares,la oficina,office,Lugar para trabajar.,1113,null
1,los lugares,la playa,beach,MC,1713,null
1,los lugares,la plaza,plaza/ square,MC,1020,null
1,los lugares,la universidad,university,Lugar para aprender.,1473,null
1,title,las facultades,schools/ departments,MC,0,null
1,las facultades,de Ciencias,of Sciences,MC,775,null
1,las facultades,de Derecho,of Law,MC,427,null
1,las facultades,de Humanidades,of Humanities,MC,1566,null
1,las facultades,de Informática,of Computer Science,MC,0,null
1,las facultades,de Medicina,of Medicine,MC,1725,null
1,title,las personas,people,MC,0,null
1,las personas,el alumno/la alumna,student,MC,969,null
