Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
6,title,los accesorios,accessories,MC,0,null
6,los accesorios,al anillo,ring,picture,3150,anillo
6,los accesorios,el arete,earring,picture,0,arete
6,los accesorios,la billetera,wallet,picture,0,billetera
6,los accesorios,la bolsa/el bolso,purse,picture,1915,bolsa
6,los accesorios,la bufanda,scarf,picture,0,bufanda
6,los accesorios,el cinturón,belt,picture,3922,cinturon
6,los accesorios,el collar,necklace,picture,4197,collar
6,los accesorios,las gafas de sol,sunglasses,picture,0,gafas de sol
6,los accesorios,la gorra,cap,picture,0,gorra
6,los accesorios,el guante,glove,picture,3392,guante
6,los accesorios,la joya,piece of jewelry,MC,2698,null
6,los accesorios,el pañuelo,handkerchief,picture,3900,panuelo
6,los accesorios,el paraguas,umbrella,picture,0,paraguas
6,los accesorios,la pulsera,bracelet,picture,0,pulsera
6,los accesorios,el sombrero,hat,picture,2899,sombrero
6,title,diseños,designs,MC,0,null
6,diseños,de color entero,solid,picture,760,color entero
6,diseños,de cuadros,plaid,picture,779,cuadros
6,diseños,de lunares,dots,picture,0,lunares
6,diseños,de rayas,stripes,picture,3249,rayas
6,title,las compras,shopping,MC,0,null
6,las compras,el almacén,department store; warehouse,Un lugar muy grande para comprar.,2455,null
6,las compras,el centro comercial,shopping center,Un lugar con muchos lugares para comprar.,1253,null
6,las compras,el escaparate,store window,Una ventana en una tienda.,4725,null
6,las compras,el mercado,market,Un lugar pequeño para comprar.,609,null
6,las compras,el precio,price,Cuanto cuesta.,708,null
6,las compras,la rebaja,sale,MC,0,null
6,las compras,el regalo,present,picture,2067,regalo
6,las compras,el supermercado,supermarket,Un lugar para comprar comida.,0,null
6,las compras,la tarjeta de crédito,credit card,picture,2309,tarjeta de credito
6,las compras,la tienda,store,Un lugar normal para comprar de tamaño normal.,1650,null
6,title,la ropa,clothes,MC,0,null
6,la ropa,el abrigo,coat,picture,2996,abrigo
6,la ropa,la bata,robe,picture,0,bata
6,la ropa,la blusa,blouse,picture,0,blusa
6,la ropa,las botas,boots,picture,2735,botas
6,la ropa,los calcetines,socks,picture,0,calcetines
6,la ropa,el calzado,footwear,MC,0,null
6,la ropa,los calzoncillos,boxer shorts,picture,0,calzoncillos
6,la ropa,la camisa,shirt,picture,2443,camisa
6,la ropa,la camisa de manga corta,short sleeve shirt,picture,3266,camisa de manga corta
6,la ropa,la camiseta,T-shirt,picture,4427,camiseta
6,la ropa,el camisón,nightgown,picture,0,camison
6,la ropa,la chaqueta,jacket,picture,4372,chaqueta
6,la ropa,la corbata,tie,picture,3238,corbata
6,la ropa,la falda,skirt,picture,3143,falda
6,la ropa,el impermeable,raincoat,picture,0,impermeable
6,la ropa,las medias,stockings/ socks,picture,0,medias
6,la ropa,los pantalones,pants,picture,2489,pantalones
6,la ropa,los pantalones cortos,shorts,picture,2489,pantalones cortos
6,la ropa,las pantimedias,pantyhose,picture,0,pantimedias
6,la ropa,el/la piyama,pajamas,picture,0,piyama
6,la ropa,la ropa interior,underwear,MC,614,null
6,la ropa,el saco,blazer/ jacket,picture,2798,saco
6,la ropa,las sandalias,sandals,picture,0,sandalias
6,la ropa,el sostén,bra,picture,0,sosten
6,la ropa,la sudadera,sweatshirt; jogging suit,picture,0,sudadera
6,la ropa,el suéter,sweater,picture,0,sueter
6,la ropa,el traje,suit,picture,1710,traje
6,la ropa,el traje de baño,bathing suit,picture,1710,traje de bano
6,la ropa,los vaqueros/los jeans,jeans,picture,0,vaqueros
6,la ropa,el vestido,dress,picture,1870,vestido
6,la ropa,las zapatillas,slippers,picture,0,zapatillas
6,la ropa,las zapatillas de deporte,tennis shoes,picture,2019,zapatillas de deporte
6,la ropa,los zapatos,shoes,picture,1932,zapatos
