Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
8,title,las fiestas y las celebraciones,holidays and celebrations,MC,0,null
8,las fiestas y las celebraciones,la alegría,joy,Estar muy contento.,1429,null
8,las fiestas y las celebraciones,el aserrín,sawdust,El resultado de crear con madera.,0,null
8,las fiestas y las celebraciones,el carnaval,carnival,Una celebración con desfile de gente que se disfraza.,0,null
8,las fiestas y las celebraciones,la carreta,cart/ wagon,Vehículo para transportar cosas.,0,null
8,las fiestas y las celebraciones,la carroza,float (in a parade),Vehículo adornado en un desfile.,0,null
8,las fiestas y las celebraciones,la celebración,celebration,Sinónimo de fiesta.,3409,null
8,las fiestas y las celebraciones,la comparsa,group dressed in similar costumes,Grupo de personas disfrazadas igualmente.,0,null
8,las fiestas y las celebraciones,la corrida (de toros),bullfight,Actividad en que una persona mata a un animal grande.,0,null
8,las fiestas y las celebraciones,la costumbre,custom,Una cosa que hacen cada año.,700,null
8,las fiestas y las celebraciones,el desfile,parade,Cuando muchas personas caminan por la calle.,3973,null
8,las fiestas y las celebraciones,el día feriado,legal holiday,Un día sin trabajo.,0,null
8,las fiestas y las celebraciones,el día festivo,holiday,Un día con una celebración.,0,null
8,las fiestas y las celebraciones,el festival,festival,Sinónimo de celebración.,0,null
8,las fiestas y las celebraciones,la festividad/ la fiesta,festivity; holiday; celebration,MC,0,null
8,las fiestas y las celebraciones,los fuegos artificiales,fireworks,Luces para una celebración.,2018,null
8,las fiestas y las celebraciones,la invitación,invitation,Un mensaje sobre una celebración.,2300,null
8,las fiestas y las celebraciones,el preparativo,preparation,El proceso de preparar para algo.,0,null
8,las fiestas y las celebraciones,la procesión,procession,Sinónimo de desfile (normalmente religioso).,4280,null
8,las fiestas y las celebraciones,la semilla,seed,Es para crecer una planta nueva.,2875,null
8,las fiestas y las celebraciones,el toro,bull,Un animal muy grande y fuerte.,2331,null
8,las fiestas y las celebraciones,la tradición,tradition,Sinónimo de costumbre.,898,null
8,title,verbos,verbs,MC,0,null
8,verbos,acompañar,to accompany,Cuando dos cosas están juntas.,512,null
8,verbos,comenzar (ie),to begin,Sinónimo de empezar.,223,null
8,verbos,dar una vuelta,to take a walk,Sinónimo de pasear.,600,null
8,verbos,disfrazarse ( c ),to wear a costume,Vestirse muy diferente.,4979,null
8,verbos,encerrar (ie),to lock up/ shut in,picture,1861,encerrar
8,verbos,enterrar,to bury,picture,2779,enterrar
8,verbos,invitar,to invite,Dar un mensaje sobre una celebración.,954,null
8,verbos,mantener (g/ ie),to maintain,No cambiar nada.,234,null
8,verbos,matar,to kill,Quitar la vida.,557,null
8,verbos,pasarlo bien,to have a good time,Sinónimo de divertirse.,67,null
8,verbos,quedar,to arrange to meet,MC,89,null
8,verbos,recordar (ue),to remember,MC,215,null
8,verbos,reunirse,to get together,Estar juntos.,509,null
8,title,las personas,people,MC,0,null
8,las personas,el antepasado,ancestor,Persona muerta en la familia.,3600,null
8,las personas,la gente,people,Un grupo de personas.,158,null
8,las personas,el/la peregrino/a,pilgrim,picture,0,peregrino
8,title,los lugares,places,MC,0,null
8,los lugares,el cementerio,cementery,picture,2700,cementerio
8,los lugares,la iglesia,church,picture,1111,iglesia
8,los lugares,el teatro,theater,picture,861,teatro
8,title,otras celebraciones,other celebrations,MC,0,null
8,otras celebraciones,el Año Nuevo,New Year´s Day,El primer día de enero.,99,null
8,otras celebraciones,el Día de Acción de Gracias,Thanksgiving Day,El cuarto jueves en noviembre.,405,null
8,otras celebraciones,el Día de las Brujas,Halloween,El treinta y uno de octubre.,4305,null
8,otras celebraciones,el Día de los Enamorados/del Amor y la Amistad,Valentine´s Day,El catorce de febrero.,3274,null
8,otras celebraciones,el Día de la Independencia de México,Mexican Independence Day,El dieciséis de septiembre.,1767,null
8,otras celebraciones,el Día de la Madre,Mother´s Day,El segundo domingo en mayo.,278,null
8,otras celebraciones,el Día del Padre,Father´s Day,El tercer domingo en junio.,182,null
8,otras celebraciones,la Navidad,Christmas,El veinticinco de diciembre.,0,null
8,otras celebraciones,la Nochebuena,Christmas Eve,El veinticuatro de diciembre.,0,null
8,otras celebraciones,la Nochevieja,New Year´s Eve,El último día del año.,0,null
8,otras celebraciones,la Pascua,Easter,Una celebración en la primavera.,0,null
8,title,el tiempo,time,MC,0,null
8,el tiempo,antes,before,El opuesto de después.,114,null
8,el tiempo,el comienzo,beginning,La primera parte de algo.,1162,null
8,el tiempo,entonces,then,MC,76,null
8,el tiempo,hoy en día,nowadays,MC,164,null
8,el tiempo,mientras,while,Sinónimo de durante.,154,null
8,title,las descripciones,descriptions,MC,0,null
8,las descripciones,adornado/a,decorated,MC,4179,null
8,las descripciones,animado/a,lively,MC,3163,null
8,las descripciones,difunto/a/ muerto/a,dead,Que no tiene vida.,0,null
8,las descripciones,horroroso/a,horrific,Sinónimo de malévolo.,0,null
8,las descripciones,malévolo/a,malevolent,Sinónimo de horroroso.,0,null
8,las descripciones,maravilloso/a,marvelous,Sinónimo de muy/ muy bueno.,1743,null
8,las descripciones,suave,soft,MC,1784,null
8,las descripciones,último/a,last,El opuesto de primero.,139,null
8,title,palabras y expresiones útiles,useful words and expressions,MC,0,null
8,palabras y expresiones útiles,cómo no,of course,Sinónimo de claro.,126,null
8,palabras y expresiones útiles,estupendamente,marvellously,MC,3478,null
8,palabras y expresiones útiles,en vivo,live,Sinónimo de en persona.,453,null
8,title,expresiones de tiempo,time expressions,MC,0,null
8,expresiones de tiempo,a veces,sometimes/ at times,MC,44,null
8,expresiones de tiempo,frecuentemente,frequently,MC,3753,null
8,expresiones de tiempo,generalmente,generally,MC,1463,null
8,expresiones de tiempo,nunca,never,El opuesto de siempre.,151,null
8,expresiones de tiempo,siempre,always,El opuesto de nunca.,90,null
8,expresiones para hacer comparaciones,expresiones para hacer comparaciones,expressions used to make comparisons,MC,0,null
8,expresiones para hacer comparaciones,más... que,more... than,El opuesto de menos... que.,24,null
8,expresiones para hacer comparaciones,menos... que,less... than,El opuesto de más... que.,98,null
8,expresiones para hacer comparaciones,más de,more than,El opuesto de menos de.,24,null
8,expresiones para hacer comparaciones,menos de,less than,El opuesto de más de.,98,null
8,expresiones para hacer comparaciones,mayor,older,El opuesto de menor.,138,null
8,expresiones para hacer comparaciones,menor,younger,El opuesto de mayor.,334,null
8,expresiones para hacer comparaciones,mejor,better,El opuesto de peor.,121,null
8,expresiones para hacer comparaciones,peor,worse,El opuesto de mejor.,866,null
8,expresiones para hacer comparaciones,tan... como,as... as,MC,83,null
8,expresiones para hacer comparaciones,tanto/a... como,as much... as,MC,79,null
8,expresiones para hacer comparaciones,tantos/as... como,as many... as,MC,79,null
8,expresiones para hacer comparaciones,tanto como,as much as,MC,79,null
8,expresiones para hacer comparaciones,el/la más...,the most...,El opuesto de el menos...,24,null
8,expresiones para hacer comparaciones,el/la menos...,the least...,El opuesto de el más...,98,null
8,expresiones para hacer comparaciones,el/la mejor,the best,El opuesto de el peor.,121,null
8,expresiones para hacer comparaciones,el/la peor,the worst,El opuesto de el mejor.,866,null
8,expresiones para hacer comparaciones,el/la mayor,the greatest,El opuesto de el menor.,138,null
8,expresiones para hacer comparaciones,el/la menor,the least,El opuesto de el mayor.,334,null
