Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
4,title,la familia,family,MC,0,null
4,la familia,la abuela,grandmother,La mamá de mi mamá.,2408,null
4,la familia,el abuelo,grandfather,El papá de mi papá.,1740,null
4,la familia,la esposa,wife,Después de ser novia.,951,null
4,la familia,el esposo,husband,Después de ser novio.,2676,null
4,la familia,la hermana,sister,La hija de mis padres.,1256,null
4,la familia,el hermano,brother,El hijo de mis padres.,539,null
4,la familia,la hija,daughter,La hermana de mi hijo.,715,null
4,la familia,el hijo,son,El hermano de mi hija.,166,null
4,la familia,la madrastra,stepmother,La esposa nueva de mi papá.,0,null
4,la familia,la madre,mother,Sinónimo de mamá.,278,null
4,la familia,la mamá,mom,Sinónimo de madre.,2286,null
4,la familia,la media hermana,half-sister,La hija de uno de mis padres.,1256,null
4,la familia,el medio hermano,half-brother,El hijo de uno de mis padres.,539,null
4,la familia,la nieta,granddaughter,La hija de mi hija.,2615,null
4,la familia,el nieto,grandson,El hijo de mi hijo.,2615,null
4,la familia,el niño/la niña,child,Una persona pequeña.,178,null
4,la familia,la novia,fiancée; girlfriend,Antes de ser esposa.,2726,null
4,la familia,el novio,fiancé; boyfriend,Antes de ser esposo.,2730,null
4,la familia,el padrastro,stepfather,El esposo nuevo de mi mamá.,0,null
4,la familia,el padre,father,Sinónimo de papá.,182,null
4,la familia,los padres,parents,Mi mamá y papá.,182,null
4,la familia,el papá,dad,Sinónimo de padre.,2281,null
4,la familia,el pariente,relative,Una persona en mi familia.,2297,null
4,la familia,el primo/la prima,cousin,Hijo/hija de mi tío.,1860,null
4,la familia,la sobrina,niece,La hija de mi hermana.,3593,null
4,la familia,el sobrino,nephew,El hijo de mi hermano.,3593,null
4,la familia,la tía,aunt,La hermana de mi mamá.,2199,null
4,la familia,el tío,uncle,El hermano de mi papá.,1755,null
4,title,las descripciones,descriptions,MC,0,null
4,las descripciones,casado/a,married,Una persona que tiene esposa/o.,1830,null
4,las descripciones,divorciado/a,divorced,Una persona que no tiene esposa/o ahora.,0,null
4,las descripciones,gemelo/a,twin,Dos hermanos con el mismo cumpleaños.,0,null
4,las descripciones,ocupado/a,busy,Cuando una persona no tiene tiempo libre.,1601,null
4,title,verbos,verbs,MC,0,null
4,verbos,acostar(se) (ue),to put to bed; to go to bed,El opuesto de levantarse.,3077,null
4,verbos,afeitar(se),to shave; to shave (oneself),picture,0,afeitarse
4,verbos,almorzar (ue),to have lunch,Comer al mediodía.,3820,null
4,verbos,ayudar,to help,MC,345,null
4,verbos,bañar(se),to bathe; to take a bath,picture,3224,banarse
4,verbos,casar(se),to get married,MC,1105,null
4,verbos,cerrar (ie),to close,MC,454,null
4,verbos,conectar(se),to connect to,MC,3084,null
