Chapter,Section,VocabItem,Translation,PromptCategory,Frequency,PictureName
0,title,las presentaciones,introductions,MC,0,null
0,las presentaciones,¿Cómo se llama usted?,What´s your name? (formal),MC,104,null
0,las presentaciones,¿Cómo te llamas?,What´s your name? (familiar),MC,104,null
0,las presentaciones,Encantado/a.,Pleased/nice to meet you.,MC,3264,null
0,las presentaciones,Igualmente.,Likewise.,MC,1431,null
0,las presentaciones,Me llamo...,My name is...,MC,104,null
0,las presentaciones,Mucho gusto.,Pleased/nice to meet you.,MC,593,null
0,title,los saludos,greetings,MC,0,null
0,los saludos,bastante,rather,MC,270,null
0,los saludos,bien,well,MC,73,null
0,los saludos,buenas tardes/buenas noches,good afternoon/good evening/ good night,MC,196,null
0,los saludos,buenos días,good morning,MC,71,null
0,los saludos,¿Cómo está?,How are you? (formal),MC,126,null
0,los saludos,¿Cómo estás?,How are you? (familiar),MC,126,null
0,los saludos,hola,hi/ hello,MC,4752,null
0,los saludos,mal,bad,MC,301,null
0,los saludos,muy,very,MC,42,null
0,los saludos,regular,fair (so so),MC,1956,null
0,los saludos,¿Qué tal?,What´s up? What´s new? (informal),MC,120,null
0,title,las despedidas,leavetaking,MC,0,null
0,las despedidas,adiós,good-bye,MC,2557,null
0,las despedidas,chao/chau,good-bye,MC,0,null
0,las despedidas,hasta luego,see you later,MC,132,null
0,las despedidas,hasta mañana,see you tomorrow,MC,401,null
0,las despedidas,hasta pronto,see you soon,MC,396,null
0,title,expreciones de cortesía,courtesy expressions,MC,0,null
0,expreciones de cortesía,con permiso,pardon me/ excuse me,MC,1753,null
0,expreciones de cortesía,de nada,you´re welcome,MC,95,null
0,expreciones de cortesía,gracias,thanks,MC,272,null
0,expreciones de cortesía,lo siento,I´m sorry (to hear that),MC,131,null
0,expreciones de cortesía,perdón,pardon me/ excuse me,MC,2240,null
0,expreciones de cortesía,por favor,please,MC,468,null
0,title,en el salón de clase,in the classroom,MC,0,null
0,en el salón de clase,el bolígrafo,ballpoint pen,picture,0,el bolígrafo
0,en el salón de clase,el borrador,eraser,picture,0,el borrador
0,en el salón de clase,la calculadora,calculator,picture,0,calculadora
0,en el salón de clase,el cesto,wastebasket,picture,0,cesto
0,en el salón de clase,la computadora,computer,picture,4253,computadora
0,en el salón de clase,la computadora portátil,laptop,picture,0,laptop
0,en el salón de clase,el cuaderno,notebook,picture,3220,cuaderno
0,en el salón de clase,el toca DVD,DVD player,picture,325,toca DVD
0,en el salón de clase,el escritorio,desk,picture,3539,escritorio
0,en el salón de clase,el lápiz,pencil,picture,3296,lapiz
0,en el salón de clase,el libro,book,picture,253,libro
0,en el salón de clase,el marcador/el rotulador,marker,picture,0,marcador
0,en el salón de clase,la mesa,table,picture,461,mesa
0,en el salón de clase,la mochila,backpack,picture,0,mochila
0,en el salón de clase,la pantalla,screen,picture,2330,pantalla
0,en el salón de clase,la pizarra,chalkboard,picture,0,pizarra
0,en el salón de clase,la puerta,door,picture,354,puerta
0,en el salón de clase,el reloj,clock,picture,1685,reloj
0,en el salón de clase,la silla,chair,picture,1307,silla
0,en el salón de clase,la tableta,tablet,picture,0,tableta
0,en el salón de clase,el televisor,television set,picture,3250,televisor
0,en el salón de clase,la ventana,window,picture,1265,ventana
0,title,las personas,people,MC,0,null
0,las personas,el amigo/la amiga,friend,MC,262,null
0,las personas,el chico/la chica,boy/girl,MC,1079,null
0,las personas,el doctor/la doctora,doctor,MC,778,null
0,las personas,él,he,MC,41,null
0,las personas,ella,she,MC,69,null
0,las personas,el/la estudiante,student,MC,1019,null
0,las personas,el profesor/la profesora,professor/ teacher,MC,621,null
0,las personas,el señor (Sr.),Mr.,MC,240,null
0,las personas,la señora (Sra.),Ms./ Mrs.,MC,976,null
0,las personas,la señorita (Srta.),Ms/ Miss,MC,2622,null
0,las personas,tú,you (familiar),MC,554,null
0,las personas,usted,you (formal),MC,269,null
0,las personas,yo,I,MC,52,null
0,title,la posición,position,MC,0,null
0,la posición,al lado (de),next to,MC,165,null
0,la posición,debajo (de),under,MC,820,null
0,la posición,detrás (de),behind,MC,701,null
0,la posición,enfrente (de),in front of,MC,2541,null
0,la posición,entre,between/ among,MC,58,null
0,la posición,sobre,on/ above,MC,48,null
0,title,el tiempo,the weather,MC,0,null
0,el tiempo,Hace buen/mal tiempo.,The weather is good/bad.,MC,68,null
0,el tiempo,Hace sol.,It´s sunny.,picture,686,hace sol
0,el tiempo,Llueve./Está lloviendo.,It´s raining.,picture,2053,lluve
0,el tiempo,¿Qué tiempo hace?,What´s the weather like?,MC,68,null
0,title,verbos,verbs,MC,0,null
0,verbos,eres,you are (familiar),MC,8,null
0,verbos,es,you are (formal)/ he/she is,MC,8,null
0,verbos,está,he/she is/ you are (formal),MC,17,null
0,verbos,estás,you are (familiar),MC,17,null
0,verbos,hay,there is/ there are,MC,11,null
0,verbos,soy,I am,MC,8,null
0,title,palabras y expreciones útiles,useful words and expressions,MC,0,null
0,palabras y expreciones útiles,a,at/ to,MC,5,null
0,palabras y expreciones útiles,el año,year,MC,55,null
0,palabras y expreciones útiles,¿Cómo es?,What is he/she/it like?,MC,126,null
0,palabras y expreciones útiles,el día,day,MC,71,null
0,palabras y expreciones útiles,¿Dónde está...?,Where is...?,MC,421,null
0,palabras y expreciones útiles,el/la,the,MC,1,null
0,palabras y expreciones útiles,en,in,MC,6,null
0,palabras y expreciones útiles,ese/a,that (adjective),MC,32,null
0,palabras y expreciones útiles,el/la,the,MC,1,null
0,palabras y expreciones útiles,hoy,today,MC,164,null
0,palabras y expreciones útiles,la mañana,morning,MC,401,null
0,palabras y expreciones útiles,mañana,tomorrow,MC,401,null
0,palabras y expreciones útiles,más o menos,more or less,MC,24,null
0,palabras y expreciones útiles,el mes,month,MC,210,null
0,palabras y expreciones útiles,mi(s),my,MC,49,null
0,palabras y expreciones útiles,¿Quién es...?,Who is...?,MC,292,null
0,palabras y expreciones útiles,la semana,week,MC,304,null
0,palabras y expreciones útiles,sí,yes,MC,70,null
0,palabras y expreciones útiles,tu(s),your (familiar),MC,349,null
0,palabras y expreciones útiles,un/una,a/ an,MC,7,null
0,palabras y expreciones útiles,y,and,MC,4,null
0,title,los meses del año,months of the year,MC,0,null
0,los meses del año,enero,January,diciembre ... febrero,1449,null
0,los meses del año,febrero,February,enero ... marzo,1722,null
0,los meses del año,marzo,March,febrero ... abril,2002,null
0,los meses del año,abril,April,marzo ... mayo,1922,null
0,los meses del año,mayo,May,abril ... junio,1422,null
0,los meses del año,junio,June,mayo ... julio,2349,null
0,los meses del año,julio,July,junio ... agosto,1559,null
0,los meses del año,agosto,August,julio ... septiembre,1244,null
0,los meses del año,septiembre,September,agosto ... octubre,2574,null
0,los meses del año,octubre,October,septiembre ... noviembre,1688,null
0,los meses del año,noviembre,November,octubre ... diciembre,2148,null
0,los meses del año,diciembre,December,noviembre ... enero,1341,null
0,title,los días de la semana,days of the week,MC,0,null
0,los días de la semana,lunes,Monday,domingo ... martes,2187,null
0,los días de la semana,martes,Tuesday,lunes ... miércoles,3490,null
0,los días de la semana,miércoles,Wednesday,martes ... jueves,3431,null
0,los días de la semana,jueves,Thursday,miércoles ... viernes,2606,null
0,los días de la semana,viernes,Friday,jueves ... sábado,2483,null
0,los días de la semana,sábado,Saturday,viernes ... domingo,1816,null
0,los días de la semana,domingo,Sunday,sábado ... lunes,1121,null
0,title,expresiones útiles en la clase,useful expresions in class,MC,0,null
0,expresiones útiles en la clase,¿Cómo se dice... en español?,How do you say... in Spanish?,MC,28,null
0,expresiones útiles en la clase,¿Comprenden?/¿Comprendes?,Do you understand?,MC,306,null
0,expresiones útiles en la clase,Contesten/ por favor./Contesta/ por favor.,Please answer.,MC,764,null
0,expresiones útiles en la clase,¿En qué página?,On what page?,MC,1135,null
0,expresiones útiles en la clase,Dile a tu compañero/a...,Tell your partner...,MC,28,null
0,expresiones útiles en la clase,Escribe.,Write.,MC,187,null
0,expresiones útiles en la clase,Hable (sobre...),Talk (about...),MC,92,null
0,expresiones útiles en la clase,Lee.,Read.,MC,244,null
0,expresiones útiles en la clase,Levanta la mano.,Raise your hand.,MC,372,null
0,expresiones útiles en la clase,Más alto/ por favor.,Louder/ please.,MC,185,null
0,expresiones útiles en la clase,Más despacio/lento/ por favor.,More slowly/ please.,MC,3398,null
0,expresiones útiles en la clase,No comprendo.,I don´t understand.,MC,306,null
0,expresiones útiles en la clase,No sé.,I don´t know.,MC,46,null
0,expresiones útiles en la clase,Otra vez.,Again.,MC,44,null
0,expresiones útiles en la clase,Presente.,Here (present).,MC,802,null
0,expresiones útiles en la clase,Repite./Repitan.,Repeat.,MC,382,null
0,expresiones útiles en la clase,Túrnense.,Take turns.,MC,0,null
0,expresiones útiles en la clase,La tarea/ por favor.,Homework please.,MC,585,null
0,expresiones útiles en la clase,¿Tienen preguntas?/¿Tienes preguntas?,Do you have any questions?,MC,481,null
0,expresiones útiles en la clase,Vayan a la pizarra./Ve a la pizarra.,Go to the board.,MC,30,null
0,title,cognados,cognates,MC,0,null
0,cognados,arrogante,arrogant,picture,0,arrogante
0,cognados,eficiente,efficient,picture,3571,eficiente
0,cognados,elegante,elegant,picture,1918,elegante
0,cognados,idealista,idealistic,picture,0,idealista
