Chapter,Section,Vocab Item,Translation,Prompt Category,Frequency,PictureName
5,title,la arquitectura,architecture,MC,0,null
5,la arquitectura,el alquiler,rent,El dinero para vivir en un apartamento.,3733,null
5,la arquitectura,el apartamento,apartment,Un lugar para vivir en un edificio grande.,0,null
5,la arquitectura,el edificio,building,MC,717,null
5,la arquitectura,el estilo,style,MC,707,null
5,la arquitectura,la vivienda,housing,MC,1600,null
5,title,en el baño,in the bathroom,MC,0,null
5,en el baño,la bañera,bathtub,picture,0,banera
5,en el baño,la ducha,shower,picture,0,ducha
5,en el baño,las cortinas,curtains,picture,3630,cortinas
5,en el baño,el inodoro,toilet,picture,0,inodoro
5,en el baño,el jabón,soap,picture,0,jabon
5,en el baño,el lavabo,bathroom sink,picture,0,lavabo
5,en el baño,la toalla,towel,picture,4967,toalla
5,title,en una casa,in a home,MC,0,null
5,en una casa,el aire acondicionado,air conditioning,picture,0,aire acondicionado
5,en una casa,el armario,closet/ armoire,picture,0,armario
5,en una casa,el baño,bathroom,picture,1789,bano
5,en una casa,la basura,garbage/ trash,picture,2594,basura
5,en una casa,la calefacción,heating,Una cosa para tener más calor en un edificio.,0,null
5,en una casa,la chimenea,fireplace,picture,4415,chimenea
5,en una casa,la cocina,kitchen,picture,1673,cocina
5,en una casa,el comedor,dining room,picture,3021,comedor
5,en una casa,el cuarto,room; bedroom,picture,655,cuarto
5,en una casa,la escalera,stairs,picture,2595,escalera
5,en una casa,el garaje,garage,picture,0,garaje
5,en una casa,la habitación,bedroom,Sinónimo de cuarto.,1610,null
5,en una casa,la lavandería,laundry room,picture,0,lavanderia
5,en una casa,el pasillo,corridor/ hall,picture,2666,pasillo
5,en una casa,la piscina,swimming pool,picture,4653,piscina
5,en una casa,el piso,floor; apartment,MC,797,null
5,en una casa,la planta baja,first floor/ ground floor,MC,711,null
5,en una casa,la sala,living room,picture,811,sala
5,en una casa,la terraza,deck/ balcony,picture,4074,terraza
5,title,los muebles y accesorios,furniture and accessories,MC,0,null
5,los muebles y accesorios,la alfombra,carpet/ rug,picture,3158,alfombra
5,los muebles y accesorios,la butaca,armchair,picture,0,butaca
5,los muebles y accesorios,la cama,bed,picture,1185,cama
5,los muebles y accesorios,la cómoda,dresser,picture,0,comoda
5,los muebles y accesorios,la cortina,curtain,picture,3630,cortina
5,los muebles y accesorios,el cuadro,picture/ painting,picture,779,cuadro
5,los muebles y accesorios,el espejo,mirror,picture,1730,espejo
5,los muebles y accesorios,la lámpara,lamp,picture,3347,lampara
5,los muebles y accesorios,la mesa,table,picture,461,mesa
5,los muebles y accesorios,la silla,chair,picture,1307,silla
